[2026-03-22T15:45:22.597Z] GET http://localhost:5173/api/slots?date=2026-03-26 → 500 (1ms, ?B)
[2026-03-22T15:45:22.598Z] GET http://localhost:5173/api/slots?date=2026-03-27 → 500 (1ms, ?B)
[2026-03-22T15:45:22.600Z] GET http://localhost:5173/api/slots?date=2026-03-28 → 500 (1ms, ?B)
[2026-03-22T15:45:22.601Z] GET http://localhost:5173/api/slots?date=2026-03-29 → 500 (1ms, ?B)
[2026-03-22T15:45:22.602Z] GET http://localhost:5173/api/slots?date=2026-03-30 → 500 (1ms, ?B)
[2026-03-22T15:45:22.603Z] GET http://localhost:5173/api/slots?date=2026-03-31 → 500 (2ms, ?B)
[2026-03-22T15:45:22.605Z] GET http://localhost:5173/api/slots?date=2026-04-01 → 500 (1ms, ?B)
[2026-03-22T15:45:22.606Z] GET http://localhost:5173/api/slots?date=2026-04-02 → 500 (1ms, ?B)
[2026-03-22T15:45:22.607Z] GET http://localhost:5173/api/slots?date=2026-04-03 → 500 (1ms, ?B)
[2026-03-22T15:45:22.608Z] GET http://localhost:5173/api/slots?date=2026-04-04 → 500 (3ms, ?B)
[2026-03-22T15:45:40.659Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194340655 → 200 (65ms, 155254B)
[2026-03-22T15:45:40.659Z] GET http://localhost:5173/src/index.css?t=1774194340655 → 200 (59ms, 41361B)
[2026-03-22T15:45:40.725Z] GET http://localhost:5173/src/App.tsx?t=1774194340655 → 200 (10ms, 10965B)
[2026-03-22T15:45:40.755Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (3ms, ?B)
[2026-03-22T15:45:40.756Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (1ms, ?B)
[2026-03-22T15:45:40.756Z] GET http://localhost:5173/api/contact → 500 (2ms, ?B)
[2026-03-22T15:45:40.759Z] GET http://localhost:5173/api/slots?date=2026-03-23 → 500 (1ms, ?B)
[2026-03-22T15:45:40.760Z] GET http://localhost:5173/api/slots?date=2026-03-24 → 500 (1ms, ?B)
[2026-03-22T15:45:40.761Z] GET http://localhost:5173/api/slots?date=2026-03-25 → 500 (1ms, ?B)
[2026-03-22T15:45:40.763Z] GET http://localhost:5173/api/slots?date=2026-03-26 → 500 (1ms, ?B)
[2026-03-22T15:45:40.764Z] GET http://localhost:5173/api/slots?date=2026-03-27 → 500 (1ms, ?B)
[2026-03-22T15:45:40.765Z] GET http://localhost:5173/api/slots?date=2026-03-28 → 500 (1ms, ?B)
[2026-03-22T15:45:40.767Z] GET http://localhost:5173/api/slots?date=2026-03-29 → 500 (1ms, ?B)
[2026-03-22T15:45:40.768Z] GET http://localhost:5173/api/slots?date=2026-03-30 → 500 (1ms, ?B)
[2026-03-22T15:45:40.769Z] GET http://localhost:5173/api/slots?date=2026-03-31 → 500 (1ms, ?B)
[2026-03-22T15:45:40.770Z] GET http://localhost:5173/api/slots?date=2026-04-01 → 500 (1ms, ?B)
[2026-03-22T15:45:40.771Z] GET http://localhost:5173/api/slots?date=2026-04-02 → 500 (1ms, ?B)
[2026-03-22T15:45:40.773Z] GET http://localhost:5173/api/slots?date=2026-04-03 → 500 (2ms, ?B)
[2026-03-22T15:45:40.775Z] GET http://localhost:5173/api/slots?date=2026-04-04 → 500 (?ms, ?B)
[2026-03-22T15:49:17.528Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194557523 → 200 (92ms, 155191B)
[2026-03-22T15:49:17.528Z] GET http://localhost:5173/src/index.css?t=1774194557523 → 200 (83ms, 41361B)
[2026-03-22T15:49:17.625Z] GET http://localhost:5173/src/App.tsx?t=1774194557523 → 200 (10ms, 10965B)
[2026-03-22T15:49:17.655Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (4ms, ?B)
[2026-03-22T15:49:17.655Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (2ms, ?B)
[2026-03-22T15:49:17.655Z] GET http://localhost:5173/api/contact → 500 (3ms, ?B)
[2026-03-22T15:49:22.892Z] GET http://localhost:5173/src/pages/PatientView.tsx?t=1774194562889 → 200 (49ms, 155521B)
[2026-03-22T15:49:22.892Z] GET http://localhost:5173/src/index.css?t=1774194562889 → 200 (76ms, 41361B)
[2026-03-22T15:49:22.973Z] GET http://localhost:5173/src/App.tsx?t=1774194562889 → 200 (7ms, 10965B)
[2026-03-22T15:49:23.001Z] GET http://localhost:5173/api/slots?date=2026-03-22 → 500 (4ms, ?B)
